Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
ETH,2021-06-21,2242.894526,2166.27,2275.63,2044.32
ETH,2021-06-22,1887.63,2242.902121,2257.805657,1865.315
ETH,2021-06-23,1879.93,1887.63,1996.58,1701.1
ETH,2021-06-24,1968.08559,1879.93,2044.37,1824.7
ETH,2021-06-25,1988.13653,1968.13622,2035,1886.412656
ETH,2021-06-26,1811.60242,1988.125436,2019.18,1793.481622
ETH,2021-06-27,1830.317767,1811.605613,1850.79,1718.19
ETH,2021-06-28,1981.400593,1830.315725,1983.14,1809.05
ETH,2021-06-29,2082.46,1981.399664,2143.31,1963.15
ETH,2021-06-30,2162.5,2082.46,2244,2076.29
ETH,2021-07-01,2276.34,2162.5,2286.45,2089.52
ETH,2021-07-02,2110,2276.34,2276.813,2075.71
ETH,2021-07-03,2155.818992,2109.323,2158.98,2018.8
ETH,2021-07-04,2227.453884,2155.817738,2238.908,2114.337577
ETH,2021-07-05,2323.716179,2227.450816,2386.39,2191.11
ETH,2021-07-06,2197.916113,2323.716573,2323.716573,2160.662
ETH,2021-07-07,2323.029048,2197.83175,2349,2195.95
ETH,2021-07-08,2316.379382,2322.987536,2408.39,2296.08
ETH,2021-07-09,2116.62,2316.346126,2323.478022,2086.85
ETH,2021-07-10,2147.041684,2116.96,2185.894635,2050
ETH,2021-07-11,2110.442837,2147.041304,2191.568222,2076.2
ETH,2021-07-12,2139.817301,2110.42747,2171.85,2081.9
ETH,2021-07-13,2034.88,2139.818144,2167.906684,2008.07
ETH,2021-07-14,1940.247498,2034.88,2045.14,1918.08
ETH,2021-07-15,1994.016592,1940.278336,2018.42,1866
ETH,2021-07-16,1917.154836,1994.023707,2039.24,1881.01
ETH,2021-07-17,1876.99,1917.230703,1963.679699,1850.35
ETH,2021-07-18,1898.884652,1877.22,1917.46,1848.5
ETH,2021-07-19,1892.04,1898.92889,1992.73,1879.8
ETH,2021-07-20,1817.446698,1892.04,1917.58,1805.93
ETH,2021-07-21,1786.037489,1817.475277,1839.369179,1718.99
ETH,2021-07-22,1994.56,1785.99699,2029.9,1755.404
ETH,2021-07-23,2024.401783,1995,2044.6,1949.67
ETH,2021-07-24,2124.659601,2024.418331,2130.597102,1997.67
ETH,2021-07-25,2186.616205,2124.796581,2199.214014,2108.01
ETH,2021-07-26,2192.240132,2186.61433,2197,2108.99
ETH,2021-07-27,2229.46,2192.240091,2431.920552,2176.03
ETH,2021-07-28,2301.116092,2229.46,2318.331963,2153.82
ETH,2021-07-29,2300.1,2301.100566,2345.003723,2246.48
ETH,2021-07-30,2382.056894,2299.554696,2399.99,2268.1
ETH,2021-07-31,2464.18,2382.056305,2470.12,2318.16
ETH,2021-08-01,2529.571589,2463.945626,2553.409205,2422.78
ETH,2021-08-02,2557.45,2529.576816,2698.47,2515.898
ETH,2021-08-03,2608.836026,2557.45,2664.74,2511
ETH,2021-08-04,2507.34,2608.836322,2630.002228,2447.65
ETH,2021-08-05,2725.315015,2507.34,2769.92,2460.1622
ETH,2021-08-06,2829.234176,2725.333549,2843.723336,2533.28
ETH,2021-08-07,2892.075583,2829.233674,2948.981477,2722.36
ETH,2021-08-08,3162.77424,2892.160784,3172.38,2868.4
ETH,2021-08-09,3014.952682,3162.825369,3189.97,2950.2
ETH,2021-08-10,3165.986763,3014.758797,3188.187375,2895.92
ETH,2021-08-11,3141.965668,3165.827231,3233.82,3053
ETH,2021-08-12,3164.5,3141.991051,3275,3123.08
ETH,2021-08-13,3045.779164,3164.5,3238.9,2982.272785
ETH,2021-08-14,3324.419302,3045.706386,3328,3036.880487
