Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
LTC,2021-05-22,180.21,210.911192,219.25,157.372637
LTC,2021-05-23,169.372508,180.21,184.561818,162
LTC,2021-05-24,142.82,169.372351,176.14,118.43
LTC,2021-05-25,185.1,142.82,185.1,140.16
LTC,2021-05-26,183.80794,185.1,194.71,167.57
LTC,2021-05-27,199.126664,183.808123,204.35,180.01
LTC,2021-05-28,193.484194,199.126046,208.702788,180.870043
LTC,2021-05-29,177.38212,193.459664,198.568041,165.8
LTC,2021-05-30,163.756707,177.382128,188.56,157.93
LTC,2021-05-31,170.72,163.7975,180.731302,155.54
LTC,2021-06-01,188.070316,170.72,188.36,164.086277
LTC,2021-06-02,182.914137,188.072823,193,176.06
LTC,2021-06-03,187.678153,182.920344,191.18,178.698912
LTC,2021-06-04,193.251323,187.678181,197.66,182.38
LTC,2021-06-05,178.775,193.251211,193.62,169.59
LTC,2021-06-06,173.032975,178.775,185.42,167.93
LTC,2021-06-07,176.242891,173.032973,179.9,172.39
LTC,2021-06-08,161.99,176.24112,182.13,160.44
LTC,2021-06-09,160.8,161.98,164.39,145.285589
LTC,2021-06-10,172.14214,160.8,173.14,152.67
LTC,2021-06-11,168.048542,172.142115,174.51,162.45
LTC,2021-06-12,162.764722,168.048572,173.61,160.730418
LTC,2021-06-13,161.701281,162.763271,164.21,154.416666
LTC,2021-06-14,170.918129,161.701282,171.54,156.78
LTC,2021-06-15,179.883988,170.918122,180,166.493967
LTC,2021-06-16,175.31,179.884064,180.95,172.29
LTC,2021-06-17,166.25,175.31,177.14,164.663769
LTC,2021-06-18,167.049627,166.25,173.26,163.07
LTC,2021-06-19,156.04196,167.050434,167.36,151.63
LTC,2021-06-20,152.831997,156.05959,160.7,152.45
LTC,2021-06-21,154.808556,152.834462,155.928737,143.89
LTC,2021-06-22,124.728054,154.808557,155.3,124.11
LTC,2021-06-23,119.6,124.728055,132.87,105.07
LTC,2021-06-24,128.92736,119.61,133.65,115.74
LTC,2021-06-25,134.47,128.927394,137.26,123.86
LTC,2021-06-26,125.25,134.47,138.21,124.432474
LTC,2021-06-27,126.66,125.25,129.27,118.91
LTC,2021-06-28,132.51,126.66,132.529,124.81
LTC,2021-06-29,137.372775,132.51,139.41,130.02
LTC,2021-06-30,144.05,137.369591,149.168475,137.366616
LTC,2021-07-01,144.244495,144.05,146.531105,136.22
LTC,2021-07-02,137.48,144.244491,144.286791,134.34
LTC,2021-07-03,136.910687,137.459458,138.93,130.69
LTC,2021-07-04,140.163263,136.910771,141.27004,134.69
LTC,2021-07-05,144.93,140.163241,147.98,136.99
LTC,2021-07-06,138.209918,144.94,145,134.2
LTC,2021-07-07,138.88,138.145468,142.64,135.77
LTC,2021-07-08,137.265393,138.89,142.87,137.09
LTC,2021-07-09,132.19479,137.265163,137.666987,128.02
LTC,2021-07-10,134.58297,132.194825,135.659513,126.27
LTC,2021-07-11,134.03,134.571485,136.685491,130.48
LTC,2021-07-12,134.173921,134.03,136.35,132.25
LTC,2021-07-13,133.526074,134.173916,139.56,131.833726
LTC,2021-07-14,131.184485,133.508594,134.49,129.628
LTC,2021-07-15,130.906068,131.184541,132.28,123.92
LTC,2021-07-16,125.55,130.906086,132.98,122.15
LTC,2021-07-17,120.72,125.55,127.68,120.561396
LTC,2021-07-18,119.995159,120.72,122.71,117.78
LTC,2021-07-19,119.56,119.99514,123.982718,116.5
LTC,2021-07-20,113.147928,119.56,120.54,111.931844
LTC,2021-07-21,107.252503,113.147948,114.880577,104.060274
LTC,2021-07-22,117.58039,107.254749,119.07,105.23
LTC,2021-07-23,120.746343,117.580372,121.9,115.68
LTC,2021-07-24,124.270623,120.746349,124.64,117.07
LTC,2021-07-25,126.101301,124.270625,127.668288,123.44
LTC,2021-07-26,127.72,126.101322,127.999324,123.86473
LTC,2021-07-27,131.244022,127.72,140.284261,127.16
LTC,2021-07-28,134.64,131.244031,135.07,127.56
LTC,2021-07-29,140.242417,134.64,141.86,132.76
LTC,2021-07-30,141.428619,140.238848,142.961,137.04
LTC,2021-07-31,145.684359,141.442116,145.79,136.02
LTC,2021-08-01,144.4,145.678129,146.55,142.08
LTC,2021-08-02,140.5,144.4,149.753062,138.22
LTC,2021-08-03,141.396948,140.5,145.75,139.115934
LTC,2021-08-04,138.323168,141.398574,143.019578,135.83
LTC,2021-08-05,142.553903,138.323181,144.38,135.691503
LTC,2021-08-06,143.531293,142.553898,145,136.31
LTC,2021-08-07,147.84267,143.531291,150.79,142.04
LTC,2021-08-08,156.169547,147.842671,156.403739,147.36
LTC,2021-08-09,149.84881,156.169532,157.56,147.38
LTC,2021-08-10,166.490412,149.848828,170.74,145.452094
LTC,2021-08-11,165.616512,166.490417,168.27,159.02254
LTC,2021-08-12,171.24668,165.616508,176,164.52
LTC,2021-08-13,165.282892,171.202338,179.636614,161.01
LTC,2021-08-14,183.442147,165.282894,184.38,164.41096
LTC,2021-08-15,182.66,183.4422,184.99,174.95
LTC,2021-08-16,184.833695,182.66,186.5,175.42
LTC,2021-08-17,178.453606,184.840196,189.02,176.84
LTC,2021-08-18,168.56741,178.453585,184.267942,168.24
LTC,2021-08-19,166.976443,168.567796,174.42,163.09
LTC,2021-08-20,175.55,166.97644,175.672079,162.8
LTC,2021-08-21,183.629464,175.55,184,174.33
LTC,2021-08-22,180.034685,183.629443,184.43,176.960876
LTC,2021-08-23,186.102549,180.033978,189.560911,178.87
LTC,2021-08-24,186.978639,186.10239,191.68,183.59
LTC,2021-08-25,173.610449,186.974567,188.53,172.517137
LTC,2021-08-26,177.802745,173.610465,178.87,169.4
LTC,2021-08-27,167.69801,177.802693,180.1,165.21
LTC,2021-08-28,176.17,167.69799,176.17,165.33
LTC,2021-08-29,175.605604,176.17,177.059783,171.69
LTC,2021-08-30,174.434986,175.608576,182.56,173.35
LTC,2021-08-31,167.341783,174.433216,176.435137,166.688619
LTC,2021-09-01,171.62,167.34,175.27,165.816622
LTC,2021-09-02,180.922882,171.62,182.583927,168.93
LTC,2021-09-03,183.53,180.923074,187.924262,179.55
LTC,2021-09-04,213.13157,183.53,217.62605,180.08
LTC,2021-09-05,212.05,213.13322,225.1,208.65
LTC,2021-09-06,232.41,212.083439,232.41,210.77
LTC,2021-09-07,219.555514,232.3,232.37,215.75
LTC,2021-09-08,178.026936,219.546622,221.922954,163.760069
LTC,2021-09-09,179.535174,178.026934,188.598,169.65
LTC,2021-09-10,180.27,179.535166,188.53,176.84
LTC,2021-09-11,174.086895,180.27,187.07,171
LTC,2021-09-12,178.3,174.090964,185.93,173.695876
LTC,2021-09-13,183.09,178.3,185.835773,175.347193
LTC,2021-09-14,179.39,183.09,234.959088,171.02
LTC,2021-09-15,182.98,179.39,188.634,176.33
LTC,2021-09-16,189.17,182.993179,191.68,179.926809
LTC,2021-09-17,185.450609,189.17,195.03,181.703468
LTC,2021-09-18,179.571499,185.450604,190.41,177.82
LTC,2021-09-19,181.4,179.601454,185.62,178.12
LTC,2021-09-20,175.629903,181.4,181.536744,172.88
LTC,2021-09-21,157.15,175.598215,175.82,153.823522
LTC,2021-09-22,148.2,157.15,162.04,144.92
LTC,2021-09-23,161.42293,148.24,161.8,145.601874
LTC,2021-09-24,163.93301,161.426083,164.9,157.443019
LTC,2021-09-25,152.24,163.933005,166.27,142.04
LTC,2021-09-26,151.186075,152.24,155.97,148.97
LTC,2021-09-27,150.690058,151.186098,153.36,142.11
LTC,2021-09-28,145.140611,150.69161,154.89,145.05
LTC,2021-09-29,140.55,145.140626,148.8,140.14
LTC,2021-09-30,144.76,140.54,150.22,140.06
LTC,2021-10-01,153.131992,144.78,154.26,144.1
LTC,2021-10-02,166.18,153.132619,168.072895,151.219505
LTC,2021-10-03,169.157132,166.18,172.702007,164.81503
LTC,2021-10-04,170.546504,169.157137,174.88,166.05
LTC,2021-10-05,167.598052,170.546502,170.62,161.55
LTC,2021-10-06,173.864025,167.58088,175.4,166.83
LTC,2021-10-07,178.71,173.858003,182.88,164.01
LTC,2021-10-08,178.75,178.71,186.86,173.58
LTC,2021-10-09,175.72,178.75,183.121064,174.56
LTC,2021-10-10,179.782741,175.72,182.652771,174.87
LTC,2021-10-11,174.960073,179.782633,183.854779,174.36
LTC,2021-10-12,179.26,174.97082,185.15,172.8
LTC,2021-10-13,172.44,179.26,179.26,166.734229
LTC,2021-10-14,177.562853,172.44,179.5,167.74
LTC,2021-10-15,180.893771,177.55464,185.96,177.068062
LTC,2021-10-16,189.44,180.893679,192.7,176.69
LTC,2021-10-17,185.9,189.44,192.5,185.19
LTC,2021-10-18,183.7,186.05,187.92,176.9
LTC,2021-10-19,185.5,183.711595,187.42,178.68
LTC,2021-10-20,188.79136,185.5,191.54,183.3
LTC,2021-10-21,207.26,188.791363,209.124349,185.929552
LTC,2021-10-22,196.924265,207.26,214.444144,195.54
LTC,2021-10-23,190.889461,196.924021,201.320168,188.01
LTC,2021-10-24,196.297538,190.88946,197.554457,189.112091
LTC,2021-10-25,190.47,196.297537,199.56,185.52
LTC,2021-10-26,195.3454,190.47,197.263011,189.83
LTC,2021-10-27,197.496467,195.345388,199.14,190.574382
LTC,2021-10-28,179.221639,197.485394,204.87,172.836238
LTC,2021-10-29,189.806606,179.221633,194.22,178.07
LTC,2021-10-30,196.469347,189.803623,198.5,188.65
LTC,2021-10-31,190.31,196.47571,197.134524,186.93
LTC,2021-11-01,191.984444,190.31,195.08,187.13
LTC,2021-11-02,197.839223,192.01,200.863669,188.31
LTC,2021-11-03,200.898925,197.831482,204.75,195.5
LTC,2021-11-04,207.215458,200.816739,209.22,197.722803
LTC,2021-11-05,202.91,207.215367,207.229072,196.59
LTC,2021-11-06,199.427964,202.91,203.245787,197.04
LTC,2021-11-07,197.756817,199.429215,201.21,191.496274
LTC,2021-11-08,201.935368,197.756799,202.186035,197.26
LTC,2021-11-09,228.781189,201.931375,229.56,201.924824
LTC,2021-11-10,262.332776,228.781182,274.4,227.1714
LTC,2021-11-11,260.53,262.332808,295.31,252.63
LTC,2021-11-12,262.556522,260.53,274.16,251.109
LTC,2021-11-13,251.24,262.538941,282.444,244.2
LTC,2021-11-14,257.840186,251.24,263.93,245.48
LTC,2021-11-15,278.299634,257.840314,279.274197,248.69
LTC,2021-11-16,263.05,278.299678,281.32,259.49
LTC,2021-11-17,230.45,263.05,263.081564,223.870067
LTC,2021-11-18,229.740508,230.45,235.2,218.45
LTC,2021-11-19,204.384255,229.740506,232.2,199.97
LTC,2021-11-20,218.212114,204.399758,221.196713,199.86
LTC,2021-11-21,227.134735,218.199609,227.74,213.04
LTC,2021-11-22,222.001968,227.11,230.69,220.01
LTC,2021-11-23,209.28,221.941653,221.941653,205.64
LTC,2021-11-24,216.485181,209.28,218.62,205.65
LTC,2021-11-25,212.40638,216.485167,217.48,206.317555
LTC,2021-11-26,222.91,212.40638,229.653256,210.91936
LTC,2021-11-27,195.337634,222.886548,224.75,190.44
LTC,2021-11-28,195.29,195.379325,201.07,191.01
LTC,2021-11-29,199.52,195.29,199.884325,182.460299
LTC,2021-11-30,205.91,199.52,209.472851,195.630596
LTC,2021-12-01,207.86,205.91,219.83,197.77
LTC,2021-12-02,208.973816,207.901685,217.44,205.72
LTC,2021-12-03,203.584753,208.973972,210.06,200.5
LTC,2021-12-04,188.064162,203.583092,208.08,180.36
LTC,2021-12-05,163.113872,188.077869,189.141772,132.826105
LTC,2021-12-06,156.542328,163.108424,165.03,148.84
LTC,2021-12-07,161.902221,156.549763,164.509338,141.6
LTC,2021-12-08,162.041816,161.880226,165.84,158.56
LTC,2021-12-09,165.21,162.037397,170.1,156.533517
LTC,2021-12-10,151.491634,165.21,166.98,151.491634
LTC,2021-12-11,148.39,151.491646,159.64,147.92
LTC,2021-12-12,157.849484,148.39,159.37,146.03
LTC,2021-12-13,159.152647,157.87764,162.72,153.48
LTC,2021-12-14,144.638397,159.152635,159.831704,142.94
LTC,2021-12-15,150.591834,144.644078,151.75,143.24
LTC,2021-12-16,153.481,150.59183,154.97,141.85
LTC,2021-12-17,148.9,153.481,156.55,148.71
LTC,2021-12-18,144.195807,148.9,150.231212,141.555557
LTC,2021-12-19,148.807086,144.195753,150.22,143.09
LTC,2021-12-20,153.210046,148.80565,160.833925,147.748567
LTC,2021-12-21,152.610822,153.209764,157.36,145.75
LTC,2021-12-22,154.822416,152.610799,156.27,149.32
LTC,2021-12-23,155.419415,154.825019,160.09,153.168952
LTC,2021-12-24,163.590924,155.419375,165.029334,153.26
LTC,2021-12-25,161.119015,163.604374,166.647353,160.455218
LTC,2021-12-26,157.836253,161.119027,163.685918,157.836253
LTC,2021-12-27,156.027124,157.827319,158.340451,153.39
LTC,2021-12-28,155.913229,156.011811,161.15,154.73
LTC,2021-12-29,145.77,155.913645,155.913645,144.82
LTC,2021-12-30,145.502255,145.77,150.73,144.43
LTC,2021-12-31,147.974533,145.502249,149.84,143
LTC,2022-01-01,146.230803,147.974531,152.5,143.977321
LTC,2022-01-02,150.8,146.224693,150.80524,146.21275
LTC,2022-01-03,151.215947,150.8,153.138544,148.02
LTC,2022-01-04,148.43486,151.215967,151.215967,146.15504
LTC,2022-01-05,146.509416,148.434855,151.452089,145.5
LTC,2022-01-06,135.37,146.509409,149.76,130
LTC,2022-01-07,136.098697,135.37,137.733516,132.74
LTC,2022-01-08,131.15,136.098397,136.29348,126.1
LTC,2022-01-09,129.503252,131.15,134.59996,125
LTC,2022-01-10,130.88,129.50305,132.477902,127.91
LTC,2022-01-11,126.55,130.91,131.46,121.067234
LTC,2022-01-12,131.546766,126.55,133.46,125.89417
LTC,2022-01-13,141.862959,131.546956,142.1,131.059171
LTC,2022-01-14,136.689317,141.862071,142.21,134.759868
LTC,2022-01-15,144.732435,136.689303,146.29,136.162438
LTC,2022-01-16,147.789451,144.742787,150.54,144.3049
LTC,2022-01-17,146.487189,147.789435,149,143.43
LTC,2022-01-18,151.354267,146.48719,153.8,144.39
LTC,2022-01-19,141.579148,151.354243,153.28,138.92
LTC,2022-01-20,136.473949,141.572557,142.894146,133.359317
LTC,2022-01-21,129.697582,136.473974,142.74,129.093831
LTC,2022-01-22,114.6,129.69678,130.89,110.1
LTC,2022-01-23,108.171122,114.51,116.76,96.842998
LTC,2022-01-24,112.16134,108.171698,112.51048,105.905749
LTC,2022-01-25,109.632553,112.161272,112.23,97.85
LTC,2022-01-26,107.859632,109.640282,109.726877,105.379626
LTC,2022-01-27,106.980981,107.869631,116.5,104.88
LTC,2022-01-28,106.894948,106.980966,109.88,103.003991
LTC,2022-01-29,109.473514,106.89513,109.97,105.47289
LTC,2022-01-30,110.780392,109.473928,112.12,107.84595
LTC,2022-01-31,108.677716,110.78041,112.15,107.169193
LTC,2022-02-01,109.589051,108.675206,111.18,104.52637
LTC,2022-02-02,115.14,109.589084,116.81,108.354159
LTC,2022-02-03,108.350085,115.14,115.93,107.54
LTC,2022-02-04,110.98,108.36,110.98,105.59
LTC,2022-02-05,121.319295,110.98,121.323989,108.83
LTC,2022-02-06,121.834577,121.305484,123.851781,119.063354
LTC,2022-02-07,127.68,121.834591,127.96,120.972601
LTC,2022-02-08,137.353154,127.68,139.75,125.33
LTC,2022-02-09,133.75,137.345782,142.88,130.73
LTC,2022-02-10,140.21,133.752564,140.977257,132.316026
LTC,2022-02-11,134.763788,140.21,143.7,134.23
